"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","fe80::22b0:1ff:fe33:6ba2","ff02::1:ffd1:ceda","ICMPv6","86","Neighbor Solicitation for 2a0d:6fc2:4940:600:b02e:364c:bbd1:ceda from 20:b0:01:33:6b:a2"
"2","0.238098172","192.168.1.196","192.168.1.1","DNS","92","Standard query 0x40c0 HTTPS moodlearn.ariel.ac.il OPT"
"3","0.250067612","192.168.1.1","192.168.1.196","DNS","178","Standard query response 0x40c0 HTTPS moodlearn.ariel.ac.il SOA drppa-infogm.bezeqint.co.il OPT"
"4","0.251341945","192.168.1.196","192.168.1.1","DNS","92","Standard query 0xf9d0 AAAA moodlearn.ariel.ac.il OPT"
"5","0.255491321","192.168.1.1","192.168.1.196","DNS","92","Standard query response 0xf9d0 AAAA moodlearn.ariel.ac.il OPT"
"6","0.256657249","192.168.1.196","34.96.118.58","TCP","74","34824  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4134288185 TSecr=0 WS=128"
"7","0.260136210","34.96.118.58","192.168.1.196","TCP","74","443  >  34824 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2960358714 TSecr=4134288185 WS=256"
"8","0.260165051","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4134288188 TSecr=2960358714"
"9","0.260911058","192.168.1.196","34.96.118.58","TLSv1.3","1968","Client Hello (SNI=moodlearn.ariel.ac.il)"
"10","0.264559247","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=1 Ack=1401 Win=267520 Len=0 TSval=2960358718 TSecr=4134288189"
"11","0.264559579","34.96.118.58","192.168.1.196","TCP","66","443  >  34824 [ACK] Seq=1 Ack=1903 Win=267264 Len=0 TSval=2960358718 TSecr=4134288189"
"12","0.270336707","34.96.118.58","192.168.1.196","TLSv1.3","2114","Server Hello, Change Cipher Spec"
"13","0.270336991","34.96.118.58","192.168.1.196","TCP","2114","443  >  34824 [PSH, ACK] Seq=2049 Ack=1903 Win=267264 Len=2048 TSval=2960358721 TSecr=4134288189 [TCP PDU reassembled in 14]"
"14","0.270337022","34.96.118.58","192.168.1.196","TLSv1.3","601","Application Data"
"15","0.270369854","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=1903 Ack=2049 Win=63488 Len=0 TSval=4134288198 TSecr=2960358721"
"16","0.270458668","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=1903 Ack=4097 Win=61568 Len=0 TSval=4134288198 TSecr=2960358721"
"17","0.270486238","192.168.1.196","34.96.118.58","TCP","66","34824  >  443 [ACK] Seq=1903 Ack=4632 Win=61056 Len=0 TSval=4134288198 TSecr=2960358721"
"18","0.278288443","192.168.1.196","192.168.1.1","DNS","87","Standard query 0x78d1 A ocsp.godaddy.com OPT"
"19","0.278771181","192.168.1.196","192.168.1.1","DNS","87","Standard query 0x6358 AAAA ocsp.godaddy.com OPT"
