"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","178","Application Data"
"2","0.002306651","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","1474","54826  >  443 [ACK] Seq=93 Ack=1 Win=542 Len=1388 TSval=2296235854 TSecr=2541234966 [TCP PDU reassembled in 3]"
"3","0.002311838","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","793","Application Data"
"4","0.002615708","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","259","Application Data"
"5","0.005235552","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=1 Ack=93 Win=1046 Len=0 TSval=2541242448 TSecr=2296235852"
"6","0.005235728","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1102","Application Data, Application Data"
"7","0.005235748","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","117","Application Data"
"8","0.005235764","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=1048 Ack=2188 Win=1038 Len=0 TSval=2541242450 TSecr=2296235854"
"9","0.006547983","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2361 Ack=1048 Win=559 Len=0 TSval=2296235859 TSecr=2541242448"
"10","0.006882598","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","117","Application Data"
"11","0.016488916","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","117","[TCP Retransmission] 54826  >  443 [PSH, ACK] Seq=2361 Ack=1048 Win=559 Len=31 TSval=2296235869 TSecr=2541242448"
"12","0.021178946","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=1048 Ack=2361 Win=1038 Len=0 TSval=2541242454 TSecr=2296235855"
"13","0.021179265","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=1048 Ack=2392 Win=1038 Len=0 TSval=2541242459 TSecr=2296235859"
"14","0.021179285","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","98","[TCP Dup ACK 13#1] 443  >  54826 [ACK] Seq=1048 Ack=2392 Win=1038 Len=0 TSval=2541242464 TSecr=2296235869 SLE=2361 SRE=2392"
"15","0.104123336","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
"16","0.104430071","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","145","Application Data"
"17","0.104430197","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
"18","0.104430224","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
"19","0.104430242","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","866","Application Data"
"20","0.104444858","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2392 Ack=2315 Win=559 Len=0 TSval=2296235956 TSecr=2541242549"
"21","0.104584478","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2392 Ack=5511 Win=559 Len=0 TSval=2296235957 TSecr=2541242549"
"22","0.106162088","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","118","Application Data"
"23","0.106162216","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","117","Application Data"
"24","0.106162235","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","125","Application Data"
"25","0.106203496","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2392 Ack=5613 Win=559 Len=0 TSval=2296235958 TSecr=2541242549"
"26","0.107631425","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","125","Application Data"
"27","0.110383619","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=5613 Ack=2431 Win=1038 Len=0 TSval=2541242555 TSecr=2296235960"
"28","0.113751656","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","771","Application Data"
"29","0.113751782","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
"30","0.113830071","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2431 Ack=7506 Win=559 Len=0 TSval=2296235966 TSecr=2541242559"
"31","0.114018186","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
"32","0.114018285","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","865","Application Data"
"33","0.114018382","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","118","Application Data"
"34","0.114564250","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","117","Application Data"
"35","0.114564348","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","125","Application Data"
"36","0.115294884","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","86","54826  >  443 [ACK] Seq=2431 Ack=9595 Win=559 Len=0 TSval=2296235967 TSecr=2541242559"
"37","0.115923033","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","125","Application Data"
"38","0.122872672","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=9595 Ack=2470 Win=1038 Len=0 TSval=2541242568 TSecr=2296235968"
"39","0.764743529","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","1474","54826  >  443 [ACK] Seq=2470 Ack=9595 Win=559 Len=1388 TSval=2296236617 TSecr=2541242568 [TCP PDU reassembled in 41]"
"40","0.764749992","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TCP","1474","54826  >  443 [ACK] Seq=3858 Ack=9595 Win=559 Len=1388 TSval=2296236617 TSecr=2541242568 [TCP PDU reassembled in 41]"
"41","0.764751232","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:805::2004","TLSv1.2","139","Application Data"
"42","0.767385511","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=9595 Ack=3858 Win=1033 Len=0 TSval=2541243212 TSecr=2296236617"
"43","0.767386116","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","98","[TCP Dup ACK 42#1] 443  >  54826 [ACK] Seq=9595 Ack=3858 Win=1033 Len=0 TSval=2541243212 TSecr=2296236617 SLE=5246 SRE=5299"
"44","0.767386144","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  54826 [ACK] Seq=9595 Ack=5299 Win=1028 Len=0 TSval=2541243212 TSecr=2296236617"
"45","0.897683136","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","802","Application Data"
"46","0.897683319","2a00:1450:4028:805::2004","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1294","Application Data"
