"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","192.168.1.196","151.101.194.91","TCP","66","47522  >  443 [ACK] Seq=1 Ack=1 Win=654 Len=0 TSval=2416773423 TSecr=891893797"
"2","0.058851898","151.101.194.91","192.168.1.196","TCP","66","[TCP ACKed unseen segment] 443  >  47522 [ACK] Seq=1 Ack=2 Win=287 Len=0 TSval=891904019 TSecr=2416753204"
"3","0.512149706","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2001:40a8:4400:3::5266:982a","TCP","86","48670  >  80 [ACK] Seq=1 Ack=1 Win=486 Len=0 TSval=3896210208 TSecr=1904690191"
"4","0.515079408","2001:40a8:4400:3::5266:982a","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","[TCP ACKed unseen segment] 80  >  48670 [ACK] Seq=1 Ack=2 Win=501 Len=0 TSval=1904700431 TSecr=3896138586"
"5","0.964439221","192.168.1.196","192.168.1.1","DNS","86","Standard query 0x5d6c A www.spotify.com OPT"
"6","0.964841566","192.168.1.196","192.168.1.1","DNS","86","Standard query 0x3b59 AAAA www.spotify.com OPT"
"7","0.970686906","192.168.1.1","192.168.1.196","DNS","146","Standard query response 0x5d6c A www.spotify.com CNAME edge-web.dual-gslb.spotify.com A 35.186.224.24 OPT"
"8","0.970687133","192.168.1.1","192.168.1.196","DNS","158","Standard query response 0x3b59 AAAA www.spotify.com CNAME edge-web.dual-gslb.spotify.com AAAA 2600:1901:1:7c5:: OPT"
"9","0.975094424","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2600:1901:1:7c5::","TCP","1474","37126  >  443 [ACK] Seq=1 Ack=1 Win=502 Len=1388 TSval=1245605906 TSecr=1584496838 [TCP PDU reassembled in 10]"
"10","0.975101424","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2600:1901:1:7c5::","TLSv1.2","1218","Application Data"
"11","0.979696377","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  37126 [ACK] Seq=1 Ack=1389 Win=977 Len=0 TSval=1584507830 TSecr=1245605906"
"12","0.979696896","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","443  >  37126 [ACK] Seq=1 Ack=2521 Win=973 Len=0 TSval=1584507830 TSecr=1245605906"
"13","1.070664613","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","182","Application Data"
"14","1.070665007","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","1038","Application Data"
"15","1.071301845","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2600:1901:1:7c5::","TCP","86","37126  >  443 [ACK] Seq=2521 Ack=1049 Win=502 Len=0 TSval=1245606002 TSecr=1584507922"
"16","1.073238395","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","937","Application Data"
"17","1.073238504","2600:1901:1:7c5::","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","132","Application Data"
