"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:804::2003","TCP","86","60512  >  80 [ACK] Seq=1 Ack=1 Win=489 Len=0 TSval=2448360040 TSecr=1832192021"
"2","0.000196419","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:804::2003","TCP","86","60504  >  80 [ACK] Seq=1 Ack=1 Win=489 Len=0 TSval=2448360040 TSecr=364949538"
"3","0.003253897","2a00:1450:4028:804::2003","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","[TCP ACKed unseen segment] 80  >  60512 [ACK] Seq=1 Ack=2 Win=1051 Len=0 TSval=1832202389 TSecr=2448339653"
"4","0.003254058","2a00:1450:4028:804::2003","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","[TCP ACKed unseen segment] 80  >  60504 [ACK] Seq=1 Ack=2 Win=1051 Len=0 TSval=364959906 TSecr=2448339656"
"5","1.023951269","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:804::2003","TCP","86","60508  >  80 [ACK] Seq=1 Ack=1 Win=464 Len=0 TSval=2448361064 TSecr=272776361"
"6","1.026298114","2a00:1450:4028:804::2003","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","[TCP ACKed unseen segment] 80  >  60508 [ACK] Seq=1 Ack=2 Win=1050 Len=0 TSval=272786857 TSecr=2448340511"
"7","1.028350660","192.168.1.196","192.168.1.1","DNS","95","Standard query 0xf4c5 AAAA www.googleadservices.com OPT"
"8","1.033644477","192.168.1.1","192.168.1.196","DNS","155","Standard query response 0xf4c5 AAAA www.googleadservices.com SOA ns1.google.com OPT"
"9","1.034208453","192.168.1.196","142.250.75.98","TCP","74","41446  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=1266356004 TSecr=0 WS=128"
"10","1.037048734","142.250.75.98","192.168.1.196","TCP","74","443  >  41446 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=1607269674 TSecr=1266356004 WS=256"
"11","1.037095087","192.168.1.196","142.250.75.98","TCP","66","41446  >  443 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=1266356007 TSecr=1607269674"
"12","1.038082368","192.168.1.196","142.250.75.98","TLSv1.2","271","Client Hello (SNI=www.googleadservices.com)"
"13","1.041920141","142.250.75.98","192.168.1.196","TCP","66","443  >  41446 [ACK] Seq=1 Ack=206 Win=268800 Len=0 TSval=1607269677 TSecr=1266356008"
"14","1.095801936","142.250.75.98","192.168.1.196","TLSv1.2","4106","Server Hello, Certificate, Server Key Exchange, Server Hello Done"
"15","1.095836199","192.168.1.196","142.250.75.98","TCP","66","41446  >  443 [ACK] Seq=206 Ack=4041 Win=72192 Len=0 TSval=1266356066 TSecr=1607269730"
"16","1.096533763","192.168.1.196","142.250.75.98","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"17","1.098374394","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2a00:1450:4028:804::2003","OCSP","521","[TCP Previous segment not captured] Request"
"18","1.099904847","142.250.75.98","192.168.1.196","TCP","66","443  >  41446 [ACK] Seq=4041 Ack=299 Win=268800 Len=0 TSval=1607269736 TSecr=1266356066"
"19","1.099905118","142.250.75.98","192.168.1.196","TLSv1.2","361","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"20","1.099905143","142.250.75.98","192.168.1.196","TLSv1.2","135","Application Data"
"21","1.103113471","2a00:1450:4028:804::2003","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TCP","86","80  >  60512 [ACK] Seq=1 Ack=437 Win=1050 Len=0 TSval=1832203487 TSecr=2448361138"
"22","1.110017847","142.250.75.98","192.168.1.196","TCP","135","[TCP Retransmission] 443  >  41446 [PSH, ACK] Seq=4336 Ack=299 Win=268800 Len=69 TSval=1607269746 TSecr=1266356066"
"23","1.110040332","192.168.1.196","142.250.75.98","TCP","78","41446  >  443 [ACK] Seq=299 Ack=4405 Win=75008 Len=0 TSval=1266356080 TSecr=1607269736 SLE=4336 SRE=4405"
"24","1.240716705","2a00:1450:4028:804::2003","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","OCSP","787","Response"
