"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","144.195.42.38","192.168.1.196","UDP","1175","8801  >  52088 Len=1133"
"2","0.000825026","192.168.1.196","144.195.42.38","TLSv1.2","109","Application Data"
"3","0.006373164","144.195.42.38","192.168.1.196","UDP","236","8801  >  54482 Len=194"
"4","0.010873905","144.195.42.38","192.168.1.196","UDP","1175","8801  >  52088 Len=1133"
"5","0.028022894","144.195.42.38","192.168.1.196","UDP","220","8801  >  54482 Len=178"
"6","0.047249846","144.195.42.38","192.168.1.196","UDP","178","8801  >  54482 Len=136"
"7","0.060381630","144.195.42.38","192.168.1.196","UDP","835","8801  >  52088 Len=793"
"8","0.060977394","2407:30c0:100:721:528c:a550:4912:88f5","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","TLSv1.2","110","Application Data"
"9","0.061001456","2a0d:6fc2:4940:600:20c:29ff:fee3:884c","2407:30c0:100:721:528c:a550:4912:88f5","TCP","86","37464  >  443 [ACK] Seq=1 Ack=25 Win=646 Len=0 TSval=462669095 TSecr=443263672"
"10","0.067574918","144.195.42.38","192.168.1.196","UDP","147","8801  >  54482 Len=105"
"11","0.070698973","144.195.42.38","192.168.1.196","UDP","835","8801  >  52088 Len=793"
"12","0.080497628","144.195.42.38","192.168.1.196","UDP","835","8801  >  52088 Len=793"
"13","0.080894926","192.168.1.196","144.195.42.38","UDP","146","54482  >  8801 Len=104"
"14","0.088017105","144.195.42.38","192.168.1.196","UDP","147","8801  >  54482 Len=105"
"15","0.090886412","144.195.42.38","192.168.1.196","UDP","834","8801  >  52088 Len=792"
"16","0.090886499","144.195.42.38","192.168.1.196","UDP","834","8801  >  52088 Len=792"
"17","0.108540776","144.195.42.38","192.168.1.196","UDP","148","8801  >  54482 Len=106"
"18","0.109058791","192.168.1.196","144.195.42.38","UDP","195","52088  >  8801 Len=153"
"19","0.128483318","144.195.42.38","192.168.1.196","UDP","148","8801  >  54482 Len=106"
"20","0.132516013","144.195.42.38","192.168.1.196","UDP","1181","8801  >  52088 Len=1139"
"21","0.148689593","144.195.42.38","192.168.1.196","UDP","150","8801  >  54482 Len=108"
"22","0.166605872","192.168.1.196","144.195.42.38","UDP","153","54482  >  8801 Len=111"
"23","0.167079035","192.168.1.196","144.195.42.38","TLSv1.2","274","Application Data"
"24","0.167201743","192.168.1.196","144.195.42.38","TLSv1.2","484","Application Data, Application Data"
"25","0.169595790","144.195.42.38","192.168.1.196","UDP","145","8801  >  54482 Len=103"
"26","0.182736870","144.195.42.38","192.168.1.196","UDP","1300","8801  >  52088 Len=1258"
"27","0.189483281","144.195.42.38","192.168.1.196","UDP","150","8801  >  54482 Len=108"
"28","0.193018978","144.195.42.38","192.168.1.196","UDP","1299","8801  >  52088 Len=1257"
"29","0.203437573","144.195.42.38","192.168.1.196","UDP","1299","8801  >  52088 Len=1257"
"30","0.209857447","144.195.42.38","192.168.1.196","UDP","145","8801  >  54482 Len=103"
"31","0.213505791","144.195.42.38","192.168.1.196","UDP","1299","8801  >  52088 Len=1257"
"32","0.223751958","144.195.42.38","192.168.1.196","UDP","1299","8801  >  52088 Len=1257"
"33","0.228927054","144.195.42.38","192.168.1.196","TLSv1.2","145","Application Data"
"34","0.230725344","144.195.42.38","192.168.1.196","UDP","145","8801  >  54482 Len=103"
"35","0.270845543","192.168.1.196","144.195.42.38","TCP","66","37856  >  443 [ACK] Seq=670 Ack=80 Win=712 Len=0 TSval=516256914 TSecr=3744062451"
"36","0.274498067","192.168.1.196","144.195.42.38","TLSv1.2","109","Application Data"
"37","0.274927417","192.168.1.196","144.195.42.38","UDP","113","54482  >  8801 Len=71"
"38","0.275021725","192.168.1.196","144.195.42.38","UDP","153","54482  >  8801 Len=111"
"39","0.277163870","144.195.42.38","192.168.1.196","UDP","1134","8801  >  52088 Len=1092"
"40","0.282508135","144.195.42.38","192.168.1.196","UDP","136","8801  >  54482 Len=94"
"41","0.285676464","144.195.42.38","192.168.1.196","UDP","1134","8801  >  52088 Len=1092"
"42","0.285676712","144.195.42.38","192.168.1.196","UDP","1134","8801  >  52088 Len=1092"
"43","0.305143531","144.195.42.38","192.168.1.196","UDP","1134","8801  >  52088 Len=1092"
"44","0.344211341","144.195.42.38","192.168.1.196","UDP","144","8801  >  54482 Len=102"
"45","0.345485682","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
"46","0.345547595","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
"47","0.362895565","144.195.42.38","192.168.1.196","TCP","66","443  >  37856 [ACK] Seq=80 Ack=670 Win=16 Len=0 TSval=3744062585 TSecr=516256810"
"48","0.366513871","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
"49","0.366514094","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
"50","0.366514124","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
"51","0.379497705","192.168.1.196","144.195.42.38","UDP","157","54482  >  8801 Len=115"
"52","0.380743429","144.195.42.38","192.168.1.196","TLSv1.2","109","Application Data"
"53","0.380756896","192.168.1.196","144.195.42.38","TCP","66","37856  >  443 [ACK] Seq=713 Ack=123 Win=712 Len=0 TSval=516257024 TSecr=3744062603"
"54","0.387001747","144.195.42.38","192.168.1.196","UDP","1127","8801  >  52088 Len=1085"
